fk_course,fk_plan,fk_teacher_teacher,teacher_name,language_type,fk_student,fk_test,origin_test_id,interaction_id,course_ware_id,package_id,package_name,page_id,order_id,data_source,test_type,test_type_desc,is_answer,answer_time,is_force,is_right,total_blank_nums,right_blank_nums,right_ratio,score,submit_time,etl_time,dt,年级,讲次
99780,812242,15006,关艺,1.0,4856988,3215160820542393256_5605753,1,3215160820542393256,110965,4885720,互动模板,5605753,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,69.0,0.0,1.0,1.0,1.0,100.0,,2020-12-17 19:44:55,2020-12-18 05:22:47.977,20201217,中,2
106874,878721,52428,罗澜,1.0,28122392,3215360984808287260_5798985,1,3215360984808287260,122828,5061673,游戏五：小猴爬柱,5798985,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,25.0,1.0,0.0,3.0,0.0,0.0,,2021-01-05 20:01:48,2021-01-06 05:17:17.396,20210105,中,4
100893,816093,43944,杨洋,1.0,51575808,898361615399470040_6730660,1,898361615399470040,126163,5938880,30,6730660,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,21.0,0.0,1.0,1.0,1.0,100.0,,2021-03-19 19:40:17,2021-03-20 05:32:17.043,20210319,大,20
99770,812042,15316,王越,1.0,61591617,2511061667246316104_6881818,1,2511061667246316104,129978,6079407,游戏五：脑科学：部件位置判断—飞船逃生,6881818,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,130.0,0.0,1.0,5.0,5.0,100.0,,2021-03-25 19:43:15,2021-03-26 05:37:06.397,20210325,大,22
106587,876579,15316,王越,1.0,50741973,444661554643677574_6625862,1,444661554643677574,122174,5843224,游戏二：选择雨伞,6625862,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,34.0,0.0,1.0,2.0,2.0,100.0,,2021-03-12 18:54:32,2021-03-17 11:45:37.371,20210312,大,18
99771,812058,22464,张智超,1.0,50911059,818861503077464704_6531270,1,818861503077464704,122101,5756050,28,6531270,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,20.0,0.0,1.0,1.0,1.0,100.0,,2021-03-06 19:39:56,2021-03-07 05:33:12.571,20210306,大,16
100895,816131,34447,王旭晖,1.0,51024936,674861442532077864_6383612,1,674861442532077864,119237,5616409,脑科学：视觉辨识-复习,6383612,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,76.0,0.0,2.0,5.0,4.0,80.0,,2021-02-27 19:29:58,2021-02-28 05:15:57.281,20210227,中,14
106871,878672,52273,张敏,1.0,63336146,2042261658722845782_6856611,1,2042261658722845782,124113,6056199,游戏三：脑科学：形容词词语结构与词汇积累,6856611,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,121.0,0.0,1.0,4.0,4.0,100.0,,2021-03-24 20:02:31,2021-03-25 05:28:55.232,20210324,大,21
100893,816077,43944,杨洋,1.0,61327888,3274460984692456886_5672173,1,3274460984692456886,116416,4945882,27,5672173,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,28.0,0.0,1.0,1.0,1.0,100.0,,2021-01-05 19:42:34,2021-01-06 05:17:17.396,20210105,大,4
99772,812080,22464,张智超,1.0,59149333,818661485607593898_6531248,1,818661485607593898,122101,5756028,09,6531248,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,131.0,0.0,1.0,1.0,1.0,100.0,,2021-03-04 19:10:08,2021-03-05 05:18:29.998,20210304,大,16
99772,812075,22464,张智超,1.0,59963404,3215361183401178096_6117439,0,3215361183401178096,117944,5364962,32,6117439,1,ods_live_edc_xes_edc_online_answer_logs,18,超级演讲秀,0,,,,,,,,,2021-01-29 05:08:06.55,20210128,大,11
106874,878732,52428,罗澜,1.0,61826906,2066761468646065478_6463428,1,2066761468646065478,121382,5692496,24,6463428,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,23.0,0.0,1.0,1.0,1.0,100.0,,2021-03-02 20:01:26,2021-03-03 05:17:52.875,20210302,中,15
106587,876563,15316,王越,1.0,52393623,3215260828978814670_5593240,1,3215260828978814670,110771,4874710,28,5593240,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,62.0,0.0,1.0,2.0,2.0,100.0,,2020-12-18 19:10:52,2020-12-19 05:19:40.976,20201218,大,2
99772,812080,22464,张智超,1.0,51235449,818661485607593898_6531248,1,818661485607593898,122101,5756028,09,6531248,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,135.0,0.0,1.0,1.0,1.0,100.0,,2021-03-04 19:10:12,2021-03-05 05:18:29.998,20210304,大,16
99779,812220,15006,关艺,1.0,50034575,3215160820270556642_5603447,1,3215160820270556642,110965,4883674,19,5603447,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,171.0,0.0,2.0,3.0,1.0,33.33333333333333,,2020-12-17 19:01:18,2020-12-18 05:22:47.977,20201217,中,2
99780,812242,15006,关艺,1.0,52230365,3215160820542393256_5605753,1,3215160820542393256,110965,4885720,互动模板,5605753,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,51.0,0.0,1.0,1.0,1.0,100.0,,2020-12-17 19:44:36,2020-12-18 05:22:47.977,20201217,中,2
99770,812034,15316,王越,1.0,22493143,443161425129110228_6284118,1,443161425129110228,120372,5522330,06,6284118,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,57.0,0.0,1.0,4.0,4.0,100.0,,2021-02-25 19:09:11,2021-02-26 06:44:28.448,20210225,大,14
99772,812078,22464,张智超,1.0,48358823,921661425119851224_6284118,1,921661425119851224,120372,5522330,06,6284118,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,51.0,0.0,1.0,4.0,4.0,100.0,,2021-02-25 19:07:35,2021-02-26 06:44:28.448,20210225,大,14
106874,878736,52428,罗澜,1.0,55626351,2041461589611726242_6693837,1,2041461589611726242,125335,5905747,21,6693837,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,22.0,0.0,1.0,1.0,1.0,100.0,,2021-03-16 20:02:19,2021-03-17 05:33:41.12,20210316,中,19
125567,910238,43944,杨洋,1.0,64270509,2064961235247246294_6174689,1,2064961235247246294,117486,5419091,28,6174689,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,24.0,0.0,1.0,1.0,1.0,100.0,,2021-02-03 19:41:38,2021-02-04 05:11:04.832,20210203,大,12
100893,816094,43944,杨洋,1.0,61575486,2510861649829569450_6849218,1,2510861649829569450,124113,6049030,游戏三：脑科学：动词词语结构与词汇积累,6849218,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,71.0,1.0,2.0,3.0,1.0,33.33333333333333,,2021-03-23 19:20:46,2021-03-24 05:29:52.186,20210323,大,21
100893,816078,43944,杨洋,1.0,61406571,3215461010599057038_5806149,1,3215461010599057038,122986,5068486,游戏二：脑科学：打地鼠——大象包装,5806149,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,0,,,,,,,,,2021-01-09 05:07:15.649,20210108,大,5
145355,961937,52428,罗澜,1.0,63711251,180161683972984260_6890476,1,180161683972984260,133373,6087394,11套题互动游戏（二),6890476,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,24.0,0.0,1.0,2.0,2.0,100.0,,2021-03-27 18:09:15,2021-03-28 06:03:05.017,20210327,中,22
125567,910238,43944,杨洋,1.0,22681697,2557761235178129250_6191915,1,2557761235178129250,117486,5435629,游戏二：脑科学：寻找乌鸦—圆月,6191915,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,117.0,0.0,1.0,3.0,3.0,100.0,,2021-02-03 19:31:45,2021-02-04 05:11:04.832,20210203,大,12
99770,812028,15316,王越,1.0,23813522,306961096823436248_5955145,1,306961096823436248,115153,5209548,脑科学一：慈母手中线视动能力-手眼配合,5955145,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,0,,,,,,,,,2021-01-19 05:11:12.566,20210118,大,8
99772,812077,22464,张智超,1.0,3928653,2584161243879533502_6223722,0,2584161243879533502,120286,5465050,30,6223722,1,ods_live_edc_xes_edc_online_answer_logs,18,超级演讲秀,0,,,,,,,,,2021-02-05 05:08:48.422,20210204,大,13
