plan_id,class_id,course_ware_id,package_id,page_id,order_id,interaction_id,stu_id,test_id,is_playback,is_force,submit_time,ability,subability,typea,typeb,difficulty_level,total_correct,total_incorrect,correct_click,incorrect_click,score,dt
812256,1255327,141640,5762884,6538488,0,947561485795419182,59961180,1,0,0,2021-03-04 19:40:41.0,注意力,注意搜索训练,500,501,3,4,1,13,0,92.00,2021-03-10
812002,1255014,116416,4945879,5672170,0,3215160975526980684,55956110,1,0,0,2021-01-04 18:15:33.0,字形规则意识,目标部件搜索训练,200,201,1,2,1,,,67,2021-02-19
816092,1792483,125196,5907626,6695912,0,1002561589320989532,37075270,1,0,0,2021-03-16 19:15:22.0,注意力,注意广度训练,500,503,3,11,2,11,2,92.6,2021-03-17
812011,1255011,120286,5489537,6249735,0,509261243332632534,18596276,1,0,0,2021-02-04 18:10:31.0,语素意识,动词词语结构与词汇积累训练,300,301,1,3,0,,,100,2021-02-19
812066,1656417,110771,4867624,5585188,0,2131160820459352610,37028979,1,1,0,2020-12-23 20:04:08.0,注意力,注意广度训练,500,503,1,14,0,14,0,110,2021-02-19
812235,1255306,122723,5793061,6571124,0,922361520049430758,59774022,1,1,0,2021-03-16 20:53:51.0,注意力,注意定向训练,500,502,3,8,0,,,100.00,2021-03-17
812244,1255368,122828,5061672,5798984,0,2129560976127953194,2068771,1,0,0,2021-01-04 19:57:24.0,语素意识,动词词语结构与词汇积累训练,300,301,1,1,2,,,33,2021-02-19
812278,1738718,141640,5762884,6538488,0,486661494238845978,50617304,1,0,0,2021-03-05 19:08:19.0,注意力,注意搜索训练,500,501,3,5,0,14,0,100.00,2021-03-10
812074,1738692,117007,5343960,6094986,0,767561157474876524,18865920,1,1,0,2021-01-26 20:33:42.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-02-19
812017,2245529,125196,5907626,6695912,0,234261580151789888,64075127,1,0,0,2021-03-15 17:47:02.0,注意力,注意广度训练,500,503,3,11,2,11,2,92.6,2021-03-17
