liveid,courseid,teacherid,classid,userid,interactionid,isplayback,data,submit_time,device,devicemodel,devicemodel_detail,app_version,dt
1043952,99778,15006,1255244,60021736,465261554386785732,0,"{""type"":""brainScience"",""data"":[{""num"":1,""times"":2,""top_click"":0,""buttom_click"":1,""select"":[{""accurate"":1,""duration"":20747}],""answer"":0,""accuracy"":""0.00"",""time"":25129},{""num"":2,""times"":3,""top_click"":0,""buttom_click"":26,""select"":[{""accurate"":0,""duration"":4519},{""accurate"":0,""duration"":24750},{""accurate"":1,""duration"":34401}],""answer"":0,""accuracy"":""0.00"",""time"":38797},{""num"":3,""times"":2,""top_click"":0,""buttom_click"":2,""select"":[{""accurate"":0,""duration"":3689},{""accurate"":1,""duration"":13077}],""answer"":0,""accuracy"":""0.00"",""time"":17454}]}",2021-03-12 18:13:42,Android,,c9ltezc,90001,20210312
812270,99781,22464,1255405,56547566,1743361105509344080,1,"{""type"":""brainScience"",""data"":[{""answer"":1,""cor_position"":33,""time"":2800,""select"":{""accurate"":1,""position"":33,""duration"":1780},""accuracy"":""1.00"",""num"":1,""stage"":1},{""answer"":1,""cor_position"":null,""time"":2800,""select"":{""accurate"":1,""position"":null,""duration"":1780},""accuracy"":""1.00"",""num"":2,""stage"":1},{""answer"":0,""cor_position"":31,""time"":2800,""select"":{""accurate"":0,""position"":null,""duration"":1780},""accuracy"":""0.67"",""num"":3,""stage"":1},{""answer"":0,""cor_position"":43,""time"":2800,""select"":{""accurate"":0,""position"":43,""duration"":1195},""accuracy"":""0.50"",""num"":4,""stage"":1},{""answer"":1,""cor_position"":52,""time"":2800,""select"":{""accurate"":1,""position"":52,""duration"":1429},""accuracy"":""1.00"",""num"":5,""stage"":2},{""answer"":1,""cor_position"":22,""time"":2800,""select"":{""accurate"":1,""position"":22,""duration"":1154},""accuracy"":""1.00"",""num"":6,""stage"":2},{""answer"":1,""cor_position"":null,""time"":2800,""select"":{""accurate"":1,""position"":null,""duration"":1154},""accuracy"":""1.00"",""num"":7,""stage"":2},{""answer"":1,""cor_position"":23,""time"":2800,""select"":{""accurate"":1,""position"":23,""duration"":1790},""accuracy"":""1.00"",""num"":8,""stage"":2}]}",2021-01-19 20:53:45,iOS,iPhone,"iPhone10,2",81506,20210119
812012,99769,15316,1255002,4613230,1865661424728061996,0,"{""type"":""brainScience"",""data"":[]}",2021-02-25 18:01:25,iOS,iPad,"iPad11,3",81708,20210225
878732,106874,52428,2203438,63702157,947361468574656108,0,"{""type"":""brainScience"",""data"":[{""answer"":1,""cor_position"":null,""time"":3500,""select"":{""accurate"":1,""position"":null,""duration"":0},""accuracy"":""1.00"",""num"":1,""stage"":1},{""answer"":1,""cor_position"":33,""time"":3500,""select"":{""accurate"":1,""position"":33,""duration"":726},""accuracy"":""1.00"",""num"":2,""stage"":1},{""answer"":1,""cor_position"":41,""time"":3500,""select"":{""accurate"":1,""position"":41,""duration"":1075},""accuracy"":""1.00"",""num"":3,""stage"":1},{""answer"":1,""cor_position"":32,""time"":3500,""select"":{""accurate"":1,""position"":32,""duration"":639},""accuracy"":""1.00"",""num"":4,""stage"":1},{""answer"":1,""cor_position"":52,""time"":3500,""select"":{""accurate"":1,""position"":52,""duration"":1209},""accuracy"":""1.00"",""num"":5,""stage"":2},{""answer"":1,""cor_position"":null,""time"":3500,""select"":{""accurate"":1,""position"":null,""duration"":1209},""accuracy"":""1.00"",""num"":6,""stage"":2},{""answer"":1,""cor_position"":53,""time"":3500,""select"":{""accurate"":1,""position"":53,""duration"":729},""accuracy"":""1.00"",""num"":7,""stage"":2},{""answer"":1,""cor_position"":22,""time"":3500,""select"":{""accurate"":1,""position"":22,""duration"":1051},""accuracy"":""1.00"",""num"":8,""stage"":2}]}",2021-03-02 19:50:25,iOS,iPad,"iPad7,5",81708,20210302
812244,99780,15006,1255357,6025293,2129560976127953194,0,"{""type"":""brainScience"",""data"":[]}",2021-01-04 19:55:54,Android,,clover,81501,20210104
816090,100893,43944,1650309,20329589,539261528894227160,0,"{""type"":""brainScience"",""data"":[]}",2021-03-09 19:22:25,iOS,iPad,"iPad5,3",90012,20210309
812075,99772,22464,1689577,58563154,2129561183350540540,0,"{""type"":""brainScience"",""data"":[{""answer"":1,""cor_position"":{""x"":1295.02,""y"":752.54999999999995},""time"":644,""accuracy"":1,""num"":1,""stage"":1,""itemObj"":[{""accurate"":1,""position"":{""x"":1295.02,""y"":752.54999999999995},""duration"":643}]},{""answer"":1,""cor_position"":{""x"":1226.0799999999999,""y"":376.91000000000003},""time"":374,""accuracy"":1,""num"":2,""stage"":2,""itemObj"":[{""accurate"":1,""position"":{""x"":1226.0799999999999,""y"":376.91000000000003},""duration"":374}]},{""answer"":1,""cor_position"":{""x"":559.01999999999998,""y"":485.07999999999998},""time"":687,""accuracy"":1,""num"":3,""stage"":3,""itemObj"":[{""accurate"":1,""position"":{""x"":559.01999999999998,""y"":485.07999999999998},""duration"":687}]}]}",2021-01-28 19:32:45,iOS,iPad,"iPad4,7",81606,20210128
816090,100893,43944,1650370,59036001,539261528894227160,0,"{""type"":""brainScience"",""data"":[{""answer"":0,""cor_position"":{""x"":1258.0599999999999,""y"":926.20000000000005},""time"":20068,""accuracy"":0,""num"":1,""stage"":1,""itemObj"":[{""accurate"":0,""position"":{""x"":1199.74,""y"":458.19999999999999},""duration"":2073},{""accurate"":0,""position"":{""x"":554.69000000000005,""y"":957.67999999999995},""duration"":4365},{""accurate"":0,""position"":{""x"":1275.8399999999999,""y"":720.73000000000002},""duration"":7668},{""accurate"":0,""position"":{""x"":886.69000000000005,""y"":796.41999999999996},""duration"":10335}]},{""answer"":1,""cor_position"":{""x"":577.08000000000004,""y"":212.69},""time"":469,""accuracy"":0.5,""num"":2,""stage"":2,""itemObj"":[{""accurate"":1,""position"":{""x"":577.08000000000004,""y"":212.69},""duration"":468}]},{""answer"":0,""cor_position"":{""x"":725.08000000000004,""y"":724.38999999999999},""time"":2450,""accuracy"":0.33000000000000002,""num"":3,""stage"":3,""itemObj"":[{""accurate"":0,""position"":{""x"":496.31999999999999,""y"":927.32000000000005},""duration"":132},{""accurate"":1,""position"":{""x"":725.08000000000004,""y"":724.38999999999999},""duration"":2450}]}]}",2021-03-09 19:23:44,iOS,iPad,"iPad4,1",81708,20210309
876581,106587,15316,1257787,9206365,1868261615092320982,0,"{""type"":""brainScience"",""data"":[{""select"":[{""accurate"":0,""duration"":24122},{""accurate"":1,""duration"":33739}],""top_click"":0,""answer"":0,""time"":38127,""times"":4,""buttom_click"":11,""accuracy"":""0.00"",""num"":1},{""select"":[{""accurate"":0,""duration"":8196},{""accurate"":0,""duration"":18490},{""accurate"":1,""duration"":29298}],""top_click"":0,""answer"":0,""time"":33666,""times"":3,""buttom_click"":7,""accuracy"":""0.00"",""num"":2},{""select"":[{""accurate"":1,""duration"":6984}],""top_click"":0,""answer"":1,""time"":11352,""times"":1,""buttom_click"":4,""accuracy"":""0.33"",""num"":3}]}",2021-03-19 18:51:04,iOS,iPad,"iPad7,5",90012,20210319
816094,87404564,43944,2279903,4656791,2510861649829569450,0,"{""type"":""brainScience"",""data"":[[{""num"":1,""time"":13807,""answer"":1,""accuracy"":""1.00"",""select"":{""options"":[{""duration"":5276,""accurate"":1,""part"":1}]}},{""num"":2,""time"":17464,""answer"":1,""accuracy"":""1.00"",""select"":{""options"":[{""duration"":5700,""accurate"":1,""part"":1}]}},{""num"":3,""time"":24455,""answer"":1,""accuracy"":""1.00"",""select"":{""options"":[{""duration"":4604,""accurate"":0,""part"":1},{""duration"":2606,""accurate"":1,""part"":1}]}}],[{""num"":1,""time"":13807,""answer"":1,""accuracy"":""1.00"",""select"":{""options"":[{""duration"":5276,""accurate"":1,""part"":1}]}},{""num"":2,""time"":17464,""answer"":1,""accuracy"":""1.00"",""select"":{""options"":[{""duration"":5700,""accurate"":1,""part"":1}]}},{""num"":3,""time"":24455,""answer"":1,""accuracy"":""1.00"",""select"":{""options"":[{""duration"":4604,""accurate"":0,""part"":1},{""duration"":2606,""accurate"":1,""part"":1}]}}]]}",2021-03-23 19:20:13,Android,,AGS3-W09HN,90101,20210323
